"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"9","Alabama","1,883,449","1,176,394","62.5","693,933","36.8",NA,NA,2004
"10","Alaska","312,598","190,889","61.1","111,025","35.5",NA,NA,2004
"11","Arizona","2,012,585","1,104,294","54.9","893,524","44.4",NA,NA,2004
"12","Arkansas","1,054,945","572,898","54.3","469,953","44.5",NA,NA,2004
"13","California","12,421,852","5,509,826","44.4","6,745,485","54.3",NA,NA,2004
"14","Colorado","2,130,330","1,101,255","51.7","1,001,732","47.0",NA,NA,2004
"15","Connecticut","1,578,769","693,826","43.9","857,488","54.3",NA,NA,2004
"16","Delaware","375,190","171,660","45.8","200,152","53.3",NA,NA,2004
"17","District of Columbia","227,586","21,256","9.3","202,970","89.2",NA,NA,2004
"18","Florida","7,609,810","3,964,522","52.1","3,583,544","47.1",NA,NA,2004
"19","Georgia","3,301,875","1,914,254","58.0","1,366,149","41.4",NA,NA,2004
"20","Hawaii","429,013","194,191","45.3","231,708","54.0",NA,NA,2004
"21","Idaho","598,447","409,235","68.4","181,098","30.3",NA,NA,2004
"22","Illinois","5,274,322","2,345,946","44.5","2,891,550","54.8",NA,NA,2004
"23","Indiana","2,468,002","1,479,438","59.9","969,011","39.3",NA,NA,2004
"24","Iowa","1,506,908","751,957","49.9","741,898","49.2",NA,NA,2004
"25","Kansas","1,187,756","736,456","62.0","434,993","36.6",NA,NA,2004
"26","Kentucky","1,795,882","1,069,439","59.5","712,733","39.7",NA,NA,2004
"27","Louisiana","1,943,106","1,102,169","56.7","820,299","42.2",NA,NA,2004
"28","Maine","740,752","330,201","44.6","396,842","53.6",NA,NA,2004
"29","Maryland","2,386,678","1,024,703","42.9","1,334,493","55.9",NA,NA,2004
"30","Massachusetts","2,912,388","1,071,109","36.8","1,803,800","61.9",NA,NA,2004
"31","Michigan","4,839,252","2,313,746","47.8","2,479,183","51.2",NA,NA,2004
"32","Minnesota","2,828,387","1,346,695","47.6","1,445,014","51.1",NA,NA,2004
"33","Mississippi","1,152,145","684,981","59.5","458,094","39.8",NA,NA,2004
"34","Missouri","2,731,364","1,455,713","53.3","1,259,171","46.1",NA,NA,2004
"35","Montana","450,445","266,063","59.1","173,710","38.6",NA,NA,2004
"36","Nebraska","778,186","512,814","65.9","254,328","32.7",NA,NA,2004
"37","Nevada","829,587","418,690","50.5","397,190","47.9",NA,NA,2004
"38","New Hampshire","677,738","331,237","48.9","340,511","50.2",NA,NA,2004
"39","New Jersey","3,611,691","1,670,003","46.2","1,911,430","52.9",NA,NA,2004
"40","New Mexico","756,304","376,930","49.8","370,942","49.0",NA,NA,2004
"41","New York","7,391,036","2,962,567","40.1","4,314,280","58.4",NA,NA,2004
"42","North Carolina","3,501,007","1,961,166","56.0","1,525,849","43.6",NA,NA,2004
"43","North Dakota","312,833","196,651","62.9","111,052","35.5",NA,NA,2004
"44","Ohio","5,627,908","2,859,768","50.8","2,741,167","48.7",NA,NA,2004
"45","Oklahoma","1,463,758","959,792","65.6","503,966","34.4",NA,NA,2004
"46","Oregon","1,836,782","866,831","47.2","943,163","51.3",NA,NA,2004
"47","Pennsylvania","5,769,590","2,793,847","48.4","2,938,095","50.9",NA,NA,2004
"48","Rhode Island","437,134","169,046","38.7","259,765","59.4",NA,NA,2004
"49","South Carolina","1,617,730","937,974","58.0","661,699","40.9",NA,NA,2004
"50","South Dakota","388,215","232,584","59.9","149,244","38.4",NA,NA,2004
"51","Tennessee","2,437,319","1,384,375","56.8","1,036,477","42.5",NA,NA,2004
"52","Texas","7,410,765","4,526,917","61.1","2,832,704","38.2",NA,NA,2004
"53","Utah","927,844","663,742","71.5","241,199","26.0",NA,NA,2004
"54","Vermont","312,309","121,180","38.8","184,067","58.9",NA,NA,2004
"55","Virginia","3,198,367","1,716,959","53.7","1,454,742","45.5",NA,NA,2004
"56","Washington","2,859,084","1,304,894","45.6","1,510,201","52.8",NA,NA,2004
"57","West Virginia","755,887","423,778","56.1","326,541","43.2",NA,NA,2004
"58","Wisconsin","2,997,007","1,478,120","49.3","1,489,504","49.7",NA,NA,2004
"59","Wyoming","243,428","167,629","68.9","70,776","29.1",NA,NA,2004
